date,change,changeOverTime,changePercent,close,high,label,low,open,uClose,uHigh,uLow,uOpen,uVolume,volume
2019-03-15,0.19,-0.051064,0.6123,31.22,31.41,"Mar 15, 19",30.71,31.04,31.22,31.41,30.71,31.04,17522706,17522706
2019-03-18,-0.14,-0.055319,-0.4484,31.08,31.58,"Mar 18, 19",30.84,31.25,31.08,31.58,30.84,31.25,13172614,13172614
2019-03-19,0.19,-0.049544,0.6113,31.27,31.5,"Mar 19, 19",30.88,31.15,31.27,31.5,30.88,31.15,15557439,15557439
2019-03-20,1.3,-0.01003,4.1573,32.57,32.65,"Mar 20, 19",31.16,31.24,32.57,32.65,31.16,31.24,22373782,22373782
2019-03-21,0.04,-0.008815,0.1228,32.61,32.69,"Mar 21, 19",32.03,32.31,32.61,32.69,32.03,32.31,13346906,13346906
2019-03-22,0.41,0.003647,1.2573,33.02,34.21,"Mar 22, 19",32.34,32.5,33.02,34.21,32.34,32.5,28034683,28034683
2019-03-25,-0.43,-0.009422,-1.3022,32.59,33.3,"Mar 25, 19",32.28,32.83,32.59,33.3,32.28,32.83,15272347,15272347
2019-03-26,0.47,0.004863,1.4422,33.06,33.86,"Mar 26, 19",32.92,32.98,33.06,33.86,32.92,32.98,17252299,17252299
2019-03-27,-0.78,-0.018845,-2.3593,32.28,33.45,"Mar 27, 19",31.95,32.93,32.28,33.45,31.95,32.93,13669409,13669409
2019-03-28,0.59,-0.000912,1.8278,32.87,32.93,"Mar 28, 19",31.73,32.29,32.87,32.93,31.73,32.29,17750596,17750596
2019-03-29,0.01,-0.000608,0.0304,32.88,33.24,"Mar 29, 19",32.47,33.1,32.88,33.24,32.47,33.1,13529256,13529256
2019-04-01,0.56,0.016413,1.7032,33.44,33.68,"Apr 1, 19",32.7,33.16,33.44,33.68,32.7,33.16,12499656,12499656
2019-04-02,0.31,0.025836,0.927,33.75,33.89,"Apr 2, 19",33.23,33.44,33.75,33.89,33.23,33.44,11638013,11638013
2019-04-03,0.63,0.044985,1.8667,34.38,34.76,"Apr 3, 19",33.81,34.0,34.38,34.76,33.81,34.0,18040972,18040972
2019-04-04,0.04,0.046201,0.1163,34.42,35.13,"Apr 4, 19",33.9,34.7,34.42,35.13,33.9,34.7,14604127,14604127
2019-04-05,0.3,0.055319,0.8716,34.72,34.79,"Apr 5, 19",34.37,34.55,34.72,34.79,34.37,34.55,9571670,9571670
2019-04-08,0.14,0.059574,0.4032,34.86,35.06,"Apr 8, 19",34.51,34.79,34.86,35.06,34.51,34.79,10655009,10655009
2019-04-09,0.28,0.068085,0.8032,35.14,35.39,"Apr 9, 19",34.8,34.84,35.14,35.39,34.8,34.84,13889711,13889711
2019-04-10,-0.39,0.056231,-1.1098,34.75,35.27,"Apr 10, 19",34.51,35.26,34.75,35.27,34.51,35.26,11648786,11648786
2019-04-11,-0.17,0.051064,-0.4892,34.58,34.87,"Apr 11, 19",34.41,34.75,34.58,34.87,34.41,34.75,10982651,10982651
2019-04-12,-0.21,0.044681,-0.6073,34.37,34.83,"Apr 12, 19",34.11,34.67,34.37,34.83,34.11,34.67,12713801,12713801
2019-04-15,0.34,0.055015,0.9892,34.71,35.03,"Apr 15, 19",34.34,34.38,34.71,35.03,34.34,34.38,10248382,10248382
2019-04-16,-0.25,0.047416,-0.7203,34.46,34.99,"Apr 16, 19",34.23,34.84,34.46,34.99,34.23,34.84,9396320,9396320
2019-04-17,0.02,0.048024,0.058,34.48,34.9,"Apr 17, 19",34.2,34.73,34.48,34.9,34.2,34.73,9022995,9022995
2019-04-18,-0.08,0.045593,-0.232,34.4,34.86,"Apr 18, 19",34.32,34.67,34.4,34.86,34.32,34.67,9806113,9806113
2019-04-22,-0.01,0.045289,-0.0291,34.39,34.61,"Apr 22, 19",33.82,34.4,34.39,34.61,33.82,34.4,19704288,19704288
2019-04-23,5.38,0.208815,15.6441,39.77,40.53,"Apr 23, 19",36.91,36.93,39.77,40.53,36.91,36.93,104262474,104262474
2019-04-24,-0.48,0.194225,-1.2069,39.29,39.95,"Apr 24, 19",38.8,39.86,39.29,39.95,38.8,39.86,30266862,30266862
2019-04-25,-0.81,0.169605,-2.0616,38.48,40.13,"Apr 25, 19",38.19,39.26,38.48,40.13,38.19,39.26,26044758,26044758
2019-04-26,0.19,0.17538,0.4938,38.67,39.34,"Apr 26, 19",38.18,38.59,38.67,39.34,38.18,38.59,15270496,15270496
2019-04-29,1.11,0.209119,2.8704,39.78,39.97,"Apr 29, 19",38.63,38.63,39.78,39.97,38.63,38.63,19679975,19679975
2019-04-30,0.13,0.21307,0.3268,39.91,40.92,"Apr 30, 19",39.65,39.79,39.91,40.92,39.65,39.79,22912022,22912022
2019-05-01,-0.62,0.194225,-1.5535,39.29,40.07,"May 1, 19",39.26,40.0,39.29,40.07,39.26,40.0,14962555,14962555
2019-05-02,0.66,0.214286,1.6798,39.95,39.99,"May 2, 19",38.84,39.24,39.95,39.99,38.84,39.24,13419117,13419117
2019-05-03,0.85,0.240122,2.1277,40.8,40.82,"May 3, 19",39.96,40.48,40.8,40.82,39.96,40.48,15577111,15577111
2019-05-06,-0.57,0.222796,-1.3971,40.23,40.44,"May 6, 19",39.45,39.69,40.23,40.44,39.45,39.69,14517359,14517359
2019-05-07,-1.61,0.17386,-4.002,38.62,40.15,"May 7, 19",38.12,39.9,38.62,40.15,38.12,39.9,19283131,19283131
2019-05-08,-0.04,0.172644,-0.1036,38.58,39.15,"May 8, 19",38.33,38.45,38.58,39.15,38.33,38.45,9168440,9168440
2019-05-09,0.21,0.179027,0.5443,38.79,39.02,"May 9, 19",37.82,38.11,38.79,39.02,37.82,38.11,10010669,10010669
2019-05-10,-0.34,0.168693,-0.8765,38.45,39.16,"May 10, 19",37.86,38.68,38.45,39.16,37.86,38.68,12258962,12258962
2019-05-13,-1.86,0.112158,-4.8375,36.59,37.64,"May 13, 19",36.37,37.5,36.59,37.64,36.37,37.5,16829698,16829698
2019-05-14,0.34,0.122492,0.9292,36.93,37.52,"May 14, 19",36.6,37.04,36.93,37.52,36.6,37.04,11125110,11125110
2019-05-15,0.97,0.151976,2.6266,37.9,38.14,"May 15, 19",36.64,36.67,37.9,38.14,36.64,36.67,11523055,11523055
2019-05-16,0.4,0.164134,1.0554,38.3,38.72,"May 16, 19",38.05,38.11,38.3,38.72,38.05,38.11,10104398,10104398
2019-05-17,-0.8,0.139818,-2.0888,37.5,38.12,"May 17, 19",37.47,37.83,37.5,38.12,37.47,37.83,9090265,9090265
2019-05-20,-0.35,0.129179,-0.9333,37.15,37.72,"May 20, 19",36.92,37.12,37.15,37.72,36.92,37.12,9411902,9411902
2019-05-21,0.32,0.138906,0.8614,37.47,37.86,"May 21, 19",37.33,37.47,37.47,37.86,37.33,37.47,8861388,8861388
2019-05-22,1.11,0.172644,2.9624,38.58,39.32,"May 22, 19",37.24,37.41,38.58,39.32,37.24,37.41,21105429,21105429
2019-05-23,-1.39,0.130395,-3.6029,37.19,38.29,"May 23, 19",36.8,38.15,37.19,38.29,36.8,38.15,18398792,18398792
2019-05-24,0.22,0.137082,0.5916,37.41,37.85,"May 24, 19",37.27,37.47,37.41,37.85,37.27,37.47,9303870,9303870
2019-05-28,-0.12,0.133435,-0.3208,37.29,38.04,"May 28, 19",37.23,37.41,37.29,38.04,37.23,37.41,11770272,11770272
2019-05-29,-0.44,0.120061,-1.1799,36.85,37.4,"May 29, 19",36.52,37.02,36.85,37.4,36.52,37.02,12270334,12270334
2019-05-30,0.29,0.128875,0.787,37.14,37.29,"May 30, 19",36.6,37.0,37.14,37.29,36.6,37.0,7413128,7413128
2019-05-31,-0.7,0.107599,-1.8848,36.44,36.96,"May 31, 19",36.3,36.62,36.44,36.96,36.3,36.62,8556067,8556067
2019-06-03,-2.01,0.046505,-5.5159,34.43,36.9,"Jun 3, 19",34.04,36.45,34.43,36.9,34.04,36.45,22217080,22217080
2019-06-04,1.67,0.097264,4.8504,36.1,36.15,"Jun 4, 19",34.97,35.18,36.1,36.15,34.97,35.18,15357128,15357128
2019-06-05,0.23,0.104255,0.6371,36.33,36.71,"Jun 5, 19",35.95,36.5,36.33,36.71,35.95,36.5,12798679,12798679
2019-06-06,0.26,0.112158,0.7157,36.59,36.75,"Jun 6, 19",35.96,36.26,36.59,36.75,35.96,36.26,8862950,8862950
2019-06-07,1.34,0.152888,3.6622,37.93,38.31,"Jun 7, 19",36.8,36.87,37.93,38.31,36.8,36.87,15399731,15399731
2019-06-10,-0.29,0.144073,-0.7646,37.64,38.64,"Jun 10, 19",37.62,38.35,37.64,38.64,37.62,38.35,10036385,10036385
2019-06-11,-0.43,0.131003,-1.1424,37.21,38.26,"Jun 11, 19",36.85,38.09,37.21,38.26,36.85,38.09,9528602,9528602
2019-06-12,0.28,0.139514,0.7525,37.49,37.61,"Jun 12, 19",37.05,37.13,37.49,37.61,37.05,37.13,6795451,6795451
2019-06-13,-1.15,0.104559,-3.0675,36.34,37.04,"Jun 13, 19",35.76,37.04,36.34,37.04,35.76,37.04,21679417,21679417
2019-06-14,-0.19,0.098784,-0.5228,36.15,36.49,"Jun 14, 19",36.04,36.36,36.15,36.49,36.04,36.36,7791057,7791057
2019-06-17,0.29,0.107599,0.8022,36.44,36.68,"Jun 17, 19",36.11,36.26,36.44,36.68,36.11,36.26,7895968,7895968
2019-06-18,0.21,0.113982,0.5763,36.65,37.51,"Jun 18, 19",36.55,36.71,36.65,37.51,36.55,36.71,12705487,12705487
2019-06-19,-0.36,0.10304,-0.9823,36.29,36.68,"Jun 19, 19",35.81,36.63,36.29,36.68,35.81,36.63,12059707,12059707
2019-06-20,-0.85,0.077204,-2.3422,35.44,36.65,"Jun 20, 19",35.33,36.35,35.44,36.65,35.33,36.35,19676060,19676060
2019-06-21,-0.42,0.064438,-1.1851,35.02,35.75,"Jun 21, 19",34.99,35.5,35.02,35.75,34.99,35.5,12853620,12853620
2019-06-24,0.56,0.081459,1.5991,35.58,35.67,"Jun 24, 19",34.82,35.19,35.58,35.67,34.82,35.19,9216830,9216830
2019-06-25,-0.86,0.055319,-2.4171,34.72,35.73,"Jun 25, 19",34.57,35.52,34.72,35.73,34.57,35.52,11196392,11196392
2019-06-26,0.5,0.070517,1.4401,35.22,35.38,"Jun 26, 19",34.92,34.98,35.22,35.38,34.92,34.98,8744768,8744768
2019-06-27,-0.47,0.056231,-1.3345,34.75,35.64,"Jun 27, 19",34.61,35.44,34.75,35.64,34.61,35.44,12655890,12655890
2019-06-28,0.15,0.06079,0.4317,34.9,34.99,"Jun 28, 19",34.28,34.75,34.9,34.99,34.28,34.75,15505289,15505289
2019-07-01,1.18,0.096657,3.3811,36.08,36.25,"Jul 1, 19",35.22,35.5,36.08,36.25,35.22,35.5,14416765,14416765
2019-07-02,0.14,0.100912,0.388,36.22,36.6,"Jul 2, 19",35.88,36.17,36.22,36.6,35.88,36.17,8398931,8398931
2019-07-03,-0.2,0.094833,-0.5522,36.02,36.39,"Jul 3, 19",35.94,36.29,36.02,36.39,35.94,36.29,5372634,5372634
2019-07-05,0.23,0.101824,0.6385,36.25,36.35,"Jul 5, 19",35.6,36.0,36.25,36.35,35.6,36.0,6084815,6084815
2019-07-08,0.2,0.107903,0.5517,36.45,36.64,"Jul 8, 19",35.87,36.04,36.45,36.64,35.87,36.04,8058474,8058474
2019-07-09,1.2,0.144377,3.2922,37.65,37.67,"Jul 9, 19",36.29,36.35,37.65,37.67,36.29,36.35,14217970,14217970
2019-07-10,-0.18,0.138906,-0.4781,37.47,38.03,"Jul 10, 19",36.88,37.9,37.47,38.03,36.88,37.9,11831813,11831813
2019-07-11,-0.26,0.131003,-0.6939,37.21,37.87,"Jul 11, 19",36.97,37.66,37.21,37.87,36.97,37.66,8549479,8549479
2019-07-12,0.63,0.150152,1.6931,37.84,37.9,"Jul 12, 19",37.17,37.37,37.84,37.9,37.17,37.37,8048674,8048674
2019-07-15,0.84,0.175684,2.2199,38.68,38.97,"Jul 15, 19",37.94,38.0,38.68,38.97,37.94,38.0,12738673,12738673
2019-07-16,-0.69,0.154711,-1.7839,37.99,38.79,"Jul 16, 19",37.82,38.78,37.99,38.79,37.82,38.78,10979576,10979576
2019-07-17,-0.29,0.145897,-0.7634,37.7,38.23,"Jul 17, 19",37.56,37.86,37.7,38.23,37.56,37.86,7926602,7926602
2019-07-18,-0.04,0.144681,-0.1061,37.66,37.79,"Jul 18, 19",37.0,37.39,37.66,37.79,37.0,37.39,11125887,11125887
2019-07-19,-0.89,0.117629,-2.3633,36.77,38.09,"Jul 19, 19",36.73,37.96,36.77,38.09,36.73,37.96,10842400,10842400
2019-07-22,0.81,0.142249,2.2029,37.58,37.69,"Jul 22, 19",36.83,36.92,37.58,37.69,36.83,36.92,8415150,8415150
2019-07-23,0.32,0.151976,0.8515,37.9,38.02,"Jul 23, 19",36.82,37.87,37.9,38.02,36.82,37.87,10741460,10741460
2019-07-24,0.83,0.177204,2.19,38.73,38.8,"Jul 24, 19",37.76,38.0,38.73,38.8,37.76,38.0,12488470,12488470
