Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Aron Santagar,Lannister,299,2,41,18,1,1,1,1,0,0,0
Arron,Night's Watch,,,,75,1,0,0,0,1,0,1
Arron Qorgyle,Martell,,,,38,1,1,0,0,1,0,0
Arryk (Guard),House Tyrell,,,,6,1,0,0,0,1,1,0
Arson,Wildling,,,,26,1,0,0,0,1,0,0
Arthor Karstark,Stark,,,,62,1,1,0,0,0,0,1
Arwyn Frey,None,,,,49,0,1,0,0,1,0,0
Arwyn Oakheart,Tyrell,,,,22,0,1,0,1,0,0,0
Arya Stark,Stark,,,,2,0,1,1,1,1,1,1
Arys Oakheart,Lannister,300,4,21,57,1,1,1,1,0,1,0
Asha Greyjoy,House Greyjoy,,,,11,0,1,0,1,0,1,1
Aurane Waters,Lannister,,,,65,1,0,0,1,0,1,0
Axell Florent,Baratheon,,,,0,1,1,0,1,1,0,1
Azzak,None,,,,2,1,1,0,0,0,0,1
Ballabar,Lannister,,,,4,1,0,0,1,0,0,0
Balon Swann,Lannister,,,,29,1,1,1,1,1,1,1
Bannen,Night's Watch,299,3,33,0,1,0,0,0,1,0,0
Barbrey Dustin,Stark,,,,26,0,1,0,0,0,0,1
Barra,None,299,2,39,35,0,0,1,0,0,0,0
Barristan Selmy,Targaryen,,,,15,1,1,1,1,1,0,1
Barsena,None,300,5,52,11,0,0,0,0,0,0,1
Barth (brewer),House Stark,,,,50,1,0,0,1,0,0,0
Bass,Night's Watch,,,,52,1,0,1,0,0,0,0
Bayard Norcross,Tyrell,,,,28,1,1,0,0,0,1,0
Bearded Ben,Night's Watch,,,,,1,0,0,0,0,1,0
Becca,House Arryn,,,,12,0,0,1,0,0,0,0
Becca the Baker,None,299,3,34,34,0,0,0,0,1,0,0
Bedwyck,Night's Watch,,,,13,1,0,0,1,1,0,1
Belaquo,None,,,,52,1,0,0,0,0,0,1
Bella,None,,,,29,0,0,0,0,1,0,0
Bellegere Otherys (courtesan),None,,,,34,0,1,0,0,0,1,0
Bellonara Otherys,None,,,,34,0,1,0,0,0,1,0
Belwas,House Targaryen,,,,63,1,0,0,1,1,0,1
Ben,None,,,,37,1,0,0,0,0,1,0
Ben Bones,None,,,,12,1,0,0,0,0,0,1
Ben Plumm,None,,,,57,1,0,0,0,1,0,1
Benedar Belmore,Arryn,,,,23,1,1,0,0,0,1,0
Benfred Tallhart,Stark,299,2,37,16,1,1,0,1,0,0,0
Benfrey Frey,None,299,5,51,51,1,1,0,0,1,0,0
Benjen Stark,Night's Watch,298,1,24,5,1,1,1,0,0,0,0
Bennet,None,300,4,31,31,1,0,0,0,0,1,0
Beric Dondarrion,None,300,4,27,42,1,1,1,0,1,0,0
Bessa (Winterfell),Stark,,,,37,0,0,1,0,0,0,0
Beth Cassel,Stark,,,,7,0,1,1,1,0,0,0
Bhakaz zo Loraq,None,,,,2,1,1,0,0,0,0,1
Big Boil,Wildling,,,,41,1,0,0,0,1,0,0
Big Walder Frey,None,,,,,1,1,1,1,0,0,1
Biter,None,300,4,37,1,1,0,0,1,0,1,0
Black Bernarr,Night's Watch,,,,18,1,0,0,0,1,0,1
Black Walder Frey,None,,,,35,1,1,0,0,1,0,0
Blane,Night's Watch,,,,23,1,0,0,1,0,0,0
Bloodbeard,None,,,,25,1,0,0,0,0,0,1
Blue Bard,House Tyrell,,,,12,1,0,0,0,0,1,0
Bonifer Hasty,Lannister,,,,65,1,1,0,1,0,1,0
Borcas,Night's Watch,,,,48,1,0,1,0,0,0,0
Boremund Harlaw,Greyjoy,,,,11,1,1,0,0,0,1,0
Boros Blount,Baratheon,,,,8,1,1,1,1,1,1,1
Borroq,Wildling,,,,0,1,0,0,0,0,0,1
Bowen Marsh,Night's Watch,,,,21,1,0,1,0,1,0,1
Bran Stark,House Stark,,,,1,1,1,1,1,1,0,1
Brandon Norrey,Stark,,,,49,1,1,0,0,0,0,1
Brenett,None,,,,49,1,0,0,0,1,0,0
Brienne of Tarth,Stark,,,,22,0,1,0,1,1,1,1
Bronn,Lannister,,,,28,1,1,1,1,1,0,0
Brown Bernarr,Night's Watch,299,3,33,23,1,0,0,1,1,0,0
Brusco,None,,,,22,1,0,0,0,0,1,1
Bryan Fossoway,Baratheon,299,2,62,42,1,1,1,1,0,0,0
Bryce Caron,Baratheon,299,2,65,29,1,1,1,1,0,0,0
Bryen,None,,,,68,1,0,0,0,1,0,0
Bryen Farring,Baratheon,300,5,62,10,1,1,0,1,0,0,1
Brynden Rivers,House Targaryen,,,,34,1,1,0,0,0,0,1
Brynden Tully,House Tully,,,,2,1,1,1,1,1,1,0
Burton Crakehall,Lannister,299,2,7,55,1,1,1,1,0,0,0
Butterbumps,House Tyrell,,,,6,1,0,0,0,1,0,0
Byam Flint,Night's Watch,299,3,33,33,1,0,0,0,1,0,0
Byan Votyris,None,,,,54,1,0,1,0,0,0,0
Byron,Arryn,,,,41,1,0,0,0,0,1,0
Cadwyn,House Lannister,,,,47,1,0,0,1,0,0,0
Caleotte,House Martell,,,,2,1,0,0,0,0,1,1
Catelyn Tully,House Stark,299,3,51,2,0,1,1,1,1,0,0
Cayn,House Stark,298,1,49,4,1,0,1,0,0,0,0
Cellador,Night's Watch,,,,48,1,0,1,0,1,0,1
Cersei Frey,None,,,,49,0,1,0,0,1,0,0
Cersei Lannister,House Lannister,,,,4,0,1,1,1,1,1,1
Chataya,None,,,,15,0,0,0,1,0,0,0
Chayle,Stark,299,2,50,9,1,0,1,1,0,0,0
Chella,Lannister,,,,56,0,0,1,1,1,0,0
Chett,Night's Watch,299,3,46,41,1,0,1,1,1,0,0
Chiggen,Lannister,298,1,42,31,1,0,1,0,0,0,0
Chiswyck,None,299,2,30,26,1,0,0,1,0,0,0
Clayton Suggs,Baratheon,,,,17,1,0,0,0,0,0,1
Clement Piper,Tully,,,,38,1,1,0,0,0,1,0
Cleos Frey,None,299,3,21,7,1,1,0,1,1,0,0
Cley Cerwyn,Stark,299,2,66,16,1,1,0,1,0,0,0
Clubfoot Karl,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Clydas,Night's Watch,,,,41,1,0,1,0,1,1,1
Cohollo,None,298,1,64,11,1,0,1,0,0,0,0
Coldhands,None,,,,46,1,0,0,0,1,0,1
Colemon,House Arryn,,,,34,1,0,1,0,1,1,0
Colen of Greenpools,House Baratheon,,,,22,1,1,0,1,0,0,0
Conn,Lannister,298,1,62,42,1,0,1,0,0,0,0
Conwy,Night's Watch,,,,6,1,0,0,1,0,0,0
Corliss Penny,Baratheon,,,,26,1,0,0,0,0,0,1
Cortnay Penrose,Baratheon,299,2,42,31,1,1,0,1,0,0,0
Cotter Pyke,Night's Watch,,,,48,1,0,0,0,1,0,0
Cragorn,House Greyjoy,300,4,29,19,1,0,0,0,0,1,0
Craster,None,299,3,33,23,1,0,0,1,1,0,0
Cregan Karstark,Stark,,,,44,1,1,0,0,0,0,1
Creighton Longbough,None,,,,4,1,0,0,0,0,1,0
Cressen,Baratheon,299,1,0,0,1,0,0,1,0,0,0
Cuger,Night's Watch,,,,,1,0,1,0,0,0,0
Cutjack,None,,,,5,1,0,0,1,0,0,0
Daario Naharis,Targaryen,,,,42,1,0,0,0,1,0,1
Dacey Mormont,Stark,299,3,51,63,0,1,1,0,1,0,0
Daemon Sand,Martell,,,,38,1,0,0,0,1,0,1
Daenerys Targaryen,House Targaryen,,,,3,0,1,1,1,1,0,1
Dagon Codd,Greyjoy,300,5,20,20,1,1,0,0,0,0,1
Dagmer,House Greyjoy,,,,11,1,0,0,1,0,0,0
Dalbridge,Night's Watch,299,2,53,43,1,0,0,1,0,0,0
Dale Seaworth,Baratheon,299,2,58,10,1,1,0,1,0,0,0
Dalla,Wildling,300,3,76,73,0,1,0,0,1,0,0
Dalla (Dragonstone),Baratheon,,,,0,0,0,0,1,0,0,0
Damon Dance-for-Me,None,,,,12,1,0,0,0,0,0,1
Damon Vypren,None,,,,49,1,1,0,0,1,0,0
Dancy,None,,,,29,0,0,0,1,0,0,0
Danwell Frey,None,,,,59,1,1,1,1,1,1,0
Dareon,Night's Watch,300,4,34,19,1,0,1,0,0,1,0
Daryn Hornwood,Stark,298,1,63,63,1,1,1,0,0,0,0
Daven Lannister,House Lannister,,,,12,1,1,0,0,0,1,0
Davos Seaworth,Baratheon,,,,0,1,1,0,1,1,0,1
Del,Wildling,299,3,41,41,1,0,0,0,1,0,0
Delp,House Tully,299,3,20,39,1,0,0,1,1,0,0
Denys Drumm,Greyjoy,,,,19,1,1,0,0,0,1,0
Denys Mallister,Night's Watch,,,,48,1,1,0,0,1,0,0
Dermot,Baratheon,,,,65,1,0,0,1,0,1,0
Desmond,House Stark,298,1,50,1,1,0,1,0,0,0,0
Desmond Grell,Tully,,,,7,1,1,0,1,1,1,0
Devan Seaworth,Baratheon,,,,10,1,1,0,1,1,0,1
Deziel Dalt,Martell,,,,38,1,1,0,0,1,0,1
Dhazzar,None,,,,2,1,1,0,0,0,0,1
Dick Crabb,None,300,4,20,9,1,0,0,0,0,1,0
Dick Follard,Night's Watch,299,3,55,41,1,0,0,0,1,0,0
Dickon Manwoody,Martell,,,,38,1,1,0,0,1,0,0
Dirk,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Dobber,None,299,2,14,5,1,0,0,1,0,0,0
Donal Noye,Night's Watch,300,3,64,19,1,0,1,1,1,0,0
Donella Hornwood,Stark,299,2,35,16,0,1,0,1,0,0,0
Donnel Drumm,Greyjoy,,,,19,1,1,0,0,0,1,0
Donnel Haigh,None,,,,49,1,1,0,0,1,0,0
Donnel Hill,Night's Watch,,,,0,1,0,0,0,1,0,1
Donnel Locke,Stark,299,3,51,25,1,1,0,1,1,0,0
Donnel Waynwood,Tully,,,,34,1,1,1,0,0,0,0
Donnis,House Stark,,,,7,1,0,1,0,0,0,0
Dontos Hollard,None,300,3,61,57,1,1,1,1,1,0,0
Donyse,None,,,,72,0,0,0,0,1,0,0
Doran Martell,Martell,,,,2,1,1,0,0,0,1,1
Doreah,House Targaryen,299,2,12,11,0,0,1,1,0,0,0
Dornish Dilly,Night's Watch,299,3,55,55,1,0,0,0,1,0,0
Draqaz,None,,,,2,1,1,0,0,0,0,1
Drennan,House Greyjoy,299,2,50,50,1,0,0,1,0,0,0
Drogo,Targaryen,298,1,64,3,1,1,1,0,0,0,0
Dudley,Stark,299,3,34,34,1,0,0,0,1,0,0
Dunsen,None,,,,26,1,0,0,1,0,0,0
Dunstan Drumm,Greyjoy,,,,19,1,1,0,0,0,1,0
Duram Bar Emmon,Baratheon,,,,0,1,1,0,1,0,0,0
Dykk Harlaw,Greyjoy,299,2,66,66,1,0,0,1,0,0,0
Dywen,Night's Watch,,,,48,1,0,1,1,1,0,1
Easy,Night's Watch,300,3,55,55,1,0,0,0,1,0,0
Ebben,Night's Watch,299,2,68,43,1,0,0,1,0,0,0
Eddard Karstark,Stark,298,1,63,53,1,1,1,0,0,0,0
Eddard Stark,House Stark,299,1,65,1,1,1,1,0,0,0,0
Eddison Tollett,Night's Watch,,,,13,1,0,0,1,1,1,1
Edmure Tully,House Tully,,,,28,1,1,1,1,1,1,0
Edric Dayne,None,,,,34,1,1,0,0,1,0,0
Edric Storm,House Baratheon,,,,10,1,0,0,0,1,0,0
Edwyn Frey,None,,,,38,1,1,0,0,1,1,0
Eggon,None,,,,30,1,0,0,1,0,0,0
Elder Brother,None,,,,31,1,0,0,0,0,1,0
Eldred Codd,Greyjoy,,,,18,1,1,0,0,0,1,0
Eleyna Westerling,Stark,,,,45,0,1,0,0,1,1,0
Elinor Tyrell,Tyrell,,,,6,0,1,0,0,1,1,0
Ellaria Sand,Martell,,,,38,0,1,0,0,1,0,1
Elmar Frey,None,,,,59,1,1,1,1,1,0,0
Elyas Willum,Baratheon,,,,22,1,1,0,1,0,0,0
Emmon Cuy,Baratheon,299,2,42,33,1,1,0,1,0,0,0
Emmon Frey,Lannister,,,,29,1,1,1,0,0,1,0
Emmond,Greyjoy,,,,1,1,0,0,0,0,1,0
Emrick,Night's Watch,,,,75,1,0,0,0,1,0,1
Endehar,Greyjoy,,,,56,1,0,0,1,0,0,0
Elwood,House Tully,299,3,20,20,1,0,0,0,1,0,0
Endrew Tarth,Night's Watch,299,3,69,60,1,0,1,0,1,0,0
Enger,House Tully,,,,39,1,0,0,1,0,0,0
Eon Hunter,Arryn,300,3,80,38,1,1,1,0,1,0,0
Erik Ironmaker,Greyjoy,,,,19,1,1,0,0,0,1,0
Ermesande Hayford,None,,,,2,0,1,0,1,1,1,0
Eroeh,Targaryen,298,1,68,61,1,0,1,0,0,0,0
Erreck,None,,,,12,1,0,0,0,1,0,0
Erryk (Guard),House Tyrell,,,,6,1,0,0,0,1,1,0
Esgred,Greyjoy,,,,24,1,0,0,1,0,0,0
Ezzara,Targaryen,,,,30,0,0,0,0,0,0,1
Falia Flowers,Greyjoy,,,,29,0,0,0,0,0,1,0
Falyse Stokeworth,Lannister,300,5,36,2,0,1,0,1,0,1,0
Farlen,House Stark,299,2,56,46,1,0,0,1,0,0,0
Fat Walda Frey,None,,,,37,0,1,0,0,1,0,1
Flement Brax,Lannister,,,,56,1,1,1,0,1,1,0
Fletcher Will,None,299,3,34,34,1,0,0,0,1,0,0
Fogo,None,298,1,61,46,1,1,1,0,0,0,0
Forley Prester,Lannister,,,,33,1,1,0,0,0,1,0
Fornio,Night's Watch,,,,33,1,0,0,0,1,0,0
Frenken,Lannister,,,,15,1,0,0,1,1,0,0
Frenya,Wildling,300,5,69,37,0,0,0,0,0,0,1
Frynne,Martell,,,,40,0,0,0,0,0,1,0
Gage,House Stark,,,,4,1,1,0,1,0,0,0
Galazza Galare,None,,,,23,0,1,0,0,0,0,1
Galbart Glover,Stark,,,,55,1,1,1,0,1,0,0
Gared,Night's Watch,297,1,1,0,1,0,1,0,0,0,0
Garin (Orphan),Martell,,,,21,1,0,0,0,0,1,0
Gariss,House Stark,,,,50,1,0,0,1,0,0,0
Garlan Tyrell,House Tyrell,,,,62,1,1,0,1,1,1,0
Garrett Paege,Lannister,,,,30,1,1,0,0,0,1,0
Garse Goodbrook,None,299,3,,,1,1,0,0,1,0,0
Garth Greyfeather,Night's Watch,300,5,31,48,1,0,0,0,1,0,1
Garth of Greenaway,Night's Watch,300,5,4,33,1,0,0,0,1,0,1
Garth of Oldtown,Night's Watch,299,3,33,33,1,0,0,0,1,0,0
Gawen Westerling,Stark,,,,33,1,1,0,0,0,1,0
Gelmarr,House Greyjoy,299,2,56,50,1,0,0,1,0,0,0
Gendry,None,,,,27,1,0,1,1,1,1,0
Genna Lannister,Lannister,,,,33,0,1,0,0,0,1,0
Gerald Gower,Baratheon,,,,54,1,1,0,0,1,0,0
Gerold Dayne,Martell,,,,13,1,1,0,0,0,1,0
Gerren,None,299,2,19,14,1,0,0,1,0,0,0
Gerris Drinkwater,Martell,,,,6,1,1,0,0,0,0,1
Gevin Harlaw,Greyjoy,299,2,66,37,1,1,0,1,0,0,0
Ghael,None,,,,71,1,0,0,0,1,0,1
Ghost of High Heart,None,,,,22,0,0,0,0,1,0,0
Gillam,None,,,,31,1,0,0,0,0,1,0
Gilly,Wildling,,,,23,0,0,0,1,1,1,1
Gilwood Hunter,Arryn,,,,80,1,1,0,0,1,0,0
Gladden Wylde,Stark,298,1,55,43,1,1,1,0,0,0,0
Glendon Hewett,Night's Watch,,,,69,1,0,0,0,1,0,0
Goady,Night's Watch,,,,0,1,0,0,0,1,0,0
Godric Borrell,None,,,,9,1,1,0,0,0,0,1
Godry Farring,Baratheon,,,,3,1,1,0,0,0,0,1
Godwyn,House Lannister,,,,32,1,0,1,0,0,0,0
Goghor,None,,,,52,1,0,0,0,0,0,1
Gormond Goodbrother,Greyjoy,,,,1,1,1,0,0,0,1,0
Gorold Goodbrother,Greyjoy,,,,1,1,1,0,0,0,1,0
Gran Goodbrother,Greyjoy,,,,1,1,1,0,0,0,1,0
Grazdan,None,299,3,27,27,1,1,0,0,1,0,0
Grazdan mo Eraz,None,,,,42,1,1,0,0,1,0,0
Grazdan mo Ullhor,None,299,3,27,27,1,1,0,0,1,0,0
Grazdan zo Galare,None,,,,2,1,1,0,0,0,0,1
Grazdar zo Galare,None,,,,2,1,1,0,0,0,0,1
Gregor Clegane,Lannister,300,4,72,29,1,1,1,1,1,0,0
Grenn,Night's Watch,,,,19,1,0,1,1,1,1,1
Grey Worm,Targaryen,,,,42,1,0,0,0,1,0,1
Greydon Goodbrother,Greyjoy,,,,1,1,1,0,0,0,1,0
Grigg,Wildling,,,,30,1,0,0,0,1,0,0
Grisel,None,,,,68,0,0,0,0,1,0,0
Groleo,House Targaryen,300,5,59,,1,0,0,0,1,0,1
Grubbs,Night's Watch,300,5,4,0,1,0,0,0,1,0,1
Grunt,None,,,,12,1,0,0,0,0,0,1
Gueren,Night's Watch,,,,38,1,0,1,0,0,0,0
Guncer Sunglass,Baratheon,299,3,10,0,1,1,0,1,1,0,0
Guyard Morrigen,Baratheon,299,2,62,22,1,1,0,1,0,0,0
Gwin Goodbrother,Greyjoy,,,,1,0,1,0,0,0,1,0
Gylbert Farwynd,Greyjoy,,,,19,1,1,0,0,0,1,0
Gyles Farwynd,Greyjoy,,,,19,1,1,0,0,0,1,0
Gyles Grafton,Arryn,,,,41,1,1,0,0,0,1,0
Gyles Rosby,Lannister,300,4,39,57,1,1,1,1,1,1,0
Gynir,House Greyjoy,299,2,56,50,1,0,0,1,0,0,0
Gysella Goodbrother,Greyjoy,,,,1,0,1,0,0,0,1,0
Haggo,None,298,1,64,11,1,0,1,0,0,0,0
Hairy Hal,Night's Watch,300,5,31,55,1,0,0,0,1,1,1
Hake,Night's Watch,299,3,46,52,1,0,1,1,1,0,0
Halder,Night's Watch,,,,19,1,0,1,0,1,0,0
Haldon,House Targaryen,,,,8,1,0,0,0,0,0,1
Hali,Wildling,298,1,37,37,0,0,1,0,0,0,0
Hallis Mollen,Stark,,,,14,1,1,1,1,0,0,0
Hallyne,Lannister,,,,17,1,0,0,1,0,1,0
Halys Hornwood,Stark,298,1,62,53,1,1,1,0,0,0,0
Hamish the Harper,None,300,5,43,32,1,0,0,0,1,1,0
Hareth (Mole's Town),Night's Watch,,,,64,1,0,0,0,1,0,1
Harghaz,None,300,5,70,52,1,0,0,0,0,0,1
Harma,Wildling,300,3,75,0,0,1,0,0,1,0,0
Harmund Sharp,Greyjoy,,,,19,1,1,0,0,0,1,0
Harmune,Night's Watch,,,,78,1,0,0,0,0,0,1
Harra,None,299,2,64,26,0,0,0,1,0,0,0
Harrag Sharp,Greyjoy,299,5,19,66,1,1,0,1,0,1,0
Harras Harlaw,Greyjoy,,,,11,1,1,0,0,0,1,0
Harwood Fell,House Baratheon,300,5,42,17,1,1,0,0,0,0,1
Hazzea,None,300,5,11,11,0,0,0,0,0,0,1
Harrion Karstark,Stark,,,,53,1,1,1,1,0,0,0
Harry Strickland,None,,,,24,1,0,0,0,0,0,1
Harwin,Stark,,,,1,1,0,1,0,1,1,0
Harwood Stout,Stark,,,,32,1,1,0,0,0,0,1
Harys Haigh,None,,,,64,1,1,0,1,1,0,0
Harys Swyft,Lannister,,,,69,1,1,1,1,1,1,1
Helman Tallhart,Stark,299,3,37,55,1,1,1,0,1,0,0
Henly (Maester),None,,,,37,1,0,0,0,0,0,1
Heward,House Stark,298,1,35,35,1,0,1,0,0,0,0
High Sparrow,None,,,,4,1,0,0,0,0,1,1
Hobb,Night's Watch,,,,52,1,0,1,0,1,0,1
Hobber Redwyne,Tyrell,,,,27,1,1,1,1,1,1,0
Hod,None,,,,5,1,0,0,1,0,0,0
Hodor,House Stark,,,,24,1,0,1,1,1,0,1
Holger,None,,,,49,1,0,0,1,0,0,0
Holly,Wildling,300,5,69,37,0,0,0,0,0,0,1
Hop-Robin,Night's Watch,,,,75,1,0,0,0,1,0,1
Horas Redwyne,Tyrell,,,,27,1,1,1,1,0,1,0
Horton Redfort,Arryn,,,,23,1,1,0,0,0,1,0
Hosteen Frey,None,,,,59,1,1,1,1,1,0,1
Hoster Tully,House Tully,299,3,35,71,1,1,1,1,1,0,0
Hot Pie,None,,,,1,1,0,0,1,1,0,0
Hother Umber,Stark,,,,16,1,1,0,1,0,0,1
Howd Wanderer,Wildling,,,,58,1,1,0,0,0,0,1
Hubard Rambton,Baratheon,299,5,10,10,1,1,0,1,0,0,0
Hugh,House Arryn,298,1,29,25,1,0,1,0,0,0,0
Hugo Vance,Tully,,,,30,1,1,0,0,0,1,0
Hullen,House Stark,298,1,50,1,1,0,1,0,0,0,0
Humfrey Swyft,Lannister,,,,16,1,1,0,0,0,1,0
Husband,None,,,,11,1,0,0,0,1,0,0
Hyle Hunt,None,300,4,42,14,1,1,0,0,0,1,0
Iggo,None,299,3,3,3,1,0,0,0,1,0,0
Illyrio Mopatis,House Targaryen,,,,3,1,1,1,0,0,0,1
Ilyn Payne,Lannister,,,,15,1,1,1,1,1,1,0
Imry Florent,Baratheon,299,3,4,58,1,1,0,1,1,0,0
Iron Emmett,Night's Watch,,,,79,1,0,0,0,1,0,1
Irri,House Targaryen,,,,11,0,0,1,1,1,0,1
Ithoke,None,,,,11,1,0,0,0,0,0,1
Jacelyn Bywater,Lannister,299,2,19,8,0,1,0,1,0,0,0
Jack Bulwer,Night's Watch,300,5,31,64,1,0,0,0,1,1,1
Jack-Be-Lucky,None,,,,17,1,0,0,0,1,1,0
Jacks,House Stark,,,,22,1,0,1,1,0,0,0
Jaggot,None,,,,42,1,0,1,0,0,0,0
Jaime Lannister,Lannister,,,,5,1,1,1,1,1,1,1
Jalabhar Xho,None,,,,29,1,1,1,1,1,1,0
Janna Tyrell,Tyrell,,,,6,0,1,0,0,1,1,0
Janos Slynt,None,300,5,7,27,1,1,1,1,1,0,1
Jaqen H'ghar,None,,,,5,1,0,0,1,0,1,0
Jared Frey,None,300,5,37,59,1,1,1,1,0,0,1
Jaremy Rykker,Night's Watch,298,5,60,21,1,1,1,0,0,0,0
Jarl,Wildling,299,3,26,7,1,0,0,0,1,0,0
Jarman Buckwell,Night's Watch,300,5,21,13,1,0,0,1,0,0,1
Jason Mallister,Stark,,,,28,1,1,1,0,1,0,0
Jate,House Lannister,,4,44,44,1,0,0,0,0,1,0
Jate Blackberry,House Baratheon,,3,10,10,1,0,0,0,1,0,0
Jeor Mormont,Night's Watch,299,3,33,48,1,1,1,1,1,0,0
Jeren,Night's Watch,,,,19,1,0,1,0,0,0,0
Jeyne Poole,Stark,,,,7,0,1,1,0,1,0,1
Jeyne Westerling,Stark,,,,14,0,1,0,0,1,1,0
Jhaqo,None,,,,68,1,1,1,0,0,0,1
Jhezane,None,,,,2,0,1,0,0,0,0,1
Jhiqui,House Targaryen,,,,11,0,0,1,1,1,0,1
Jhogo,House Targaryen,,,,23,1,0,1,1,1,0,1
Jocelyn Swyft,Lannister,,,,3,0,1,0,0,0,1,1
Jodge,House Lannister,,,,30,1,0,0,1,0,0,0
Jojen Reed,Stark,,,,21,1,1,0,1,1,0,1
Jommy,House Baratheon,,,,0,1,0,0,1,0,0,0
Jon Bettley,Lannister,,,,16,1,1,0,0,0,1,0
Jon Connington,Targaryen,,,,5,1,1,0,0,0,0,1
Jon Fossoway,Baratheon,,,,22,1,1,0,1,0,0,0
Jon Snow,Night's Watch,,,,1,1,1,1,1,1,1,1
Jon Umber (Greatjon),Stark,,,,51,1,1,1,1,1,0,0
Joffrey Baratheon,House Lannister,300,3,60,5,1,1,1,1,1,0,0
Jon Umber (Smalljon),Stark,299,3,51,63,1,1,1,0,1,0,0
Jonelle Cerwyn,Stark,,,,53,0,1,1,0,0,0,0
Jonos Bracken,Tully,,,,28,1,1,1,0,1,0,1
Jorah Mormont,Targaryen,,,,23,1,1,1,1,1,0,1
Jory Cassel,Stark,298,1,35,1,1,1,1,0,0,0,0
Joseran,Greyjoy,,,,11,1,0,0,0,0,1,0
Joseth,House Stark,,,,37,1,0,1,1,0,0,0
Josmyn Peckledon,Lannister,,,,65,1,0,0,1,1,1,1
Joss,None,,,,43,1,0,1,0,0,0,0
Joss Stilwood,Lannister,,,,,1,0,1,0,0,0,0
Josua Willum,Baratheon,,,,22,1,1,0,1,0,0,0
Jothos Slynt,Lannister,,,,66,1,1,0,0,1,0,0
Joyeuse Erenford,None,,,,28,0,1,1,0,1,0,0
Justin Massey,Baratheon,,,,7,1,1,0,0,0,0,1
Jyck,House Lannister,298,1,31,21,1,0,1,0,0,0,0
Jynessa Blackmont,Martell,,,,38,0,1,0,0,1,0,0
Karyl Vance,Tully,,,,43,1,1,1,0,1,1,0
